O,D,weight
2300200,2309706,255.0
2300200,2310209,191.0
2300200,2310258,182.0
2300200,2310605,3.0
2300200,2310704,41.0
2300200,2310803,155.0
2300200,2311306,152.0
2300200,2311405,8.0
2300200,2311504,3.0
2300200,2311801,148.0
2300200,2312007,1694.0
2300200,2312304,46.0
2300200,2312403,261.0
2300200,2312908,4747.0
2300200,2313104,11.0
2300200,2313203,3.0
2300200,2313401,1308.0
2300200,2313500,126.0
2300200,2313559,495.0
2300200,2313609,40.0
2300200,2313807,6.0
2300200,2313955,38.0
2300200,2314003,26.0
2300200,2314102,16.0
2300309,2300150,42.0
2300309,2300408,1161.0
2300309,2300606,108.0
2300309,2300705,110.0
2300309,2300804,1122.0
2300309,2300903,5.0
2300309,2301000,781.0
2300309,2301109,85.0
2300309,2301208,377.0
2300309,2301257,954.0
2300309,2301307,1114.0
2300309,2301406,180.0
2300309,2301505,839.0
2300309,2301604,686.0
2300309,2301703,121.0
2300309,2301802,325.0
2300309,2301851,1189.0
2300309,2301901,755.0
2300309,2302008,815.0
2300309,2302107,654.0
2300309,2302206,23.0
2300309,2302404,1415.0
2300309,2302503,552.0
2300309,2302602,51.0
2300309,2302701,1791.0
2300309,2302800,833.0
2300309,2302909,452.0
2300309,2303105,53.0
2300309,2303204,76.0
2300309,2303303,3178.0
2300309,2303402,197.0
2300309,2303501,35.0
2300309,2303600,8094.0
2300309,2303659,394.0
2300309,2303709,192.0
2300309,2303808,1408.0
2300309,2303931,318.0
2300309,2304103,1949.0
2300309,2304202,1218.0
2300309,2304236,528.0
2300309,2304269,3949.0
2300309,2304285,276.0
2300309,2304301,207.0
2300309,2304400,5952.0
2300309,2304509,50.0
2300309,2304657,17.0
2300309,2304707,1.0
2300309,2304806,312.0
2300309,2305001,749.0
2300309,2305100,113.0
2300309,2305209,233.0
2300309,2305233,25.0
2300309,2305266,398.0
2300309,2305308,78.0
2300309,2305332,852.0
2300309,2305407,1260.0
2300309,2305506,9729.0
2300309,2305605,1305.0
2300309,2305654,821.0
2300309,2305704,356.0
2300309,2305803,950.0
2300309,2305902,1806.0
2300309,2306009,219.0
2300309,2306256,94.0
2300309,2306405,5.0
2300309,2306504,276.0
2300309,2306603,2208.0
2300309,2306702,699.0
2300309,2306801,89.0
2300309,2306900,1134.0
2300309,2307007,141.0
2300309,2307205,182.0
2300309,2307304,4922.0
2300309,2307403,3582.0
2300309,2307502,554.0
2300309,2307601,1063.0
2300309,2307635,873.0
2300309,2307650,1931.0
2300309,2307700,76.0
2300309,2308005,2.0
2300309,2308104,1475.0
2300309,2308302,673.0
2300309,2308351,3830.0
2300309,2308401,103.0
2300309,2308500,5535.0
2300309,2308609,961.0
2300309,2308708,2454.0
2300309,2309102,238.0
2300309,2309201,84.0
2300309,2309300,2520.0
2300309,2309409,1127.0
2300309,2309458,178.0
2300309,2309508,512.0
2300309,2309706,17.0
2300309,2309805,285.0
2300309,2310308,2122.0
2300309,2310506,4634.0
2300309,2310803,424.0
2300309,2310852,1.0
2300309,2310902,6020.0
2300309,2310951,274.0
2300309,2311009,884.0
2300309,2311207,337.0
2300309,2311231,109.0
2300309,2311264,1391.0
2300309,2311306,3186.0
2300309,2311355,3664.0
2300309,2311405,4267.0
2300309,2311504,401.0
2300309,2311603,112.0
2300309,2311702,79.0
2300309,2311801,882.0
2300309,2311900,4494.0
2300309,2311959,963.0
2300309,2312106,90.0
2300309,2312205,527.0
2300309,2312304,376.0
2300309,2312700,4629.0
2300309,2312908,96.0
2300309,2313005,3956.0
2300309,2313104,510.0
2300309,2313203,2236.0
2300309,2313252,634.0
2300309,2313302,6026.0
2300309,2313401,365.0
2300309,2313609,73.0
2300309,2313708,502.0
2300309,2313955,145.0
2300309,2314003,1115.0
2300309,2314102,104.0
2300408,2300309,87.0
2300408,2300804,74.0
2300408,2301000,346.0
2300408,2301307,34.0
2300408,2301505,44.0
2300408,2301604,104.0
2300408,2301851,3.0
2300408,2301901,428.0
2300408,2302008,6.0
2300408,2302404,42.0
2300408,2302701,135.0
2300408,2303204,5.0
2300408,2303600,112.0
2300408,2303709,40.0
2300408,2304202,491.0
2300408,2304285,184.0
2300408,2304400,642.0
2300408,2305407,1.0
2300408,2305506,327.0
2300408,2306256,66.0
2300408,2307304,1460.0
2300408,2307403,34.0
2300408,2307650,590.0
2300408,2308104,9.0
2300408,2308708,152.0
2300408,2309201,17.0
2300408,2309706,22.0
2300408,2310308,30.0
2300408,2310803,2.0
2300408,2310902,69.0
2300408,2311264,1.0
2300408,2311306,13.0
2300408,2311355,13.0
2300408,2311801,3.0
2300408,2311900,66.0
2300408,2311959,15.0
2300408,2312106,4.0
2300408,2312403,4.0
2300408,2313302,499.0
2300507,2301000,478.0
2300507,2302404,115.0
2300507,2302602,30.0
2300507,2303709,22.0
2300507,2304004,128.0
2300507,2304285,136.0
