origin,ncm,export
2300101,101,286.1278042899681
2300101,201,23089.00693648909
2300101,202,49191.37723260578
2300101,203,4140.808746288556
2300101,206,372.8910248966225
2300101,207,51275.57860643338
2300101,210,926.3362469285387
2300101,304,110.1086942282422
2300101,401,3107.9102639665703
2300101,402,1487.494078203053
2300101,403,4298.549994351769
2300101,404,228.44649549761206
2300101,406,2513.2658816880075
2300101,713,915.7384918051365
2300101,811,227.99322864146603
2300101,901,4024.502924533173
2300101,1006,15569.052777772962
2300101,1101,281.6026543156428
2300101,1102,183.26531943420127
2300101,1104,454.26531694014017
2300101,1108,167.18304740725765
2300101,1507,2413.396780528293
2300101,1508,263.84951945820274
2300101,1509,425.23646424811017
2300101,1517,353.29007815063585
2300101,1601,3272.4613923797283
2300101,1602,613.3105307638111
2300101,1604,42766.878000702025
2300101,1701,4697.25459290921
2300101,1702,806.0280252893112
2300101,1704,216.75932039806742
2300101,1806,1793.074629456066
2300101,1901,744.1660312957891
2300101,1902,6846.223157303908
2300101,1904,84.92990034890532
2300101,1905,51107.81960494938
2300101,2002,282.8168509787057
2300101,2007,264.098794817306
2300101,2008,1478.0276734162635
2300101,2101,146.3577203814802
2300101,2102,75.05252182847403
2300101,2103,4061.244942166434
2300101,2104,478.71043946474447
2300101,2105,1848.4909379968208
2300101,2106,9163.419234662948
2300101,2201,5789.099046896563
2300101,2202,83563.33918662794
2300101,2203,1277.7110497390609
2300101,2204,378.43004783976653
2300101,2206,2076.3582800129557
2300101,2207,24448.47921665049
2300101,2208,4571.822918559879
2300101,2209,192.31545866551986
2300101,2309,1880.4299248401053
2300101,2402,8610.394766113879
2300101,2520,298.2263499444051
2300101,2522,3810.337271079026
2300101,2523,36022.987692219926
2300101,2710,4045989.705191665
2300101,2711,28314.06431736328
2300101,2806,643.7185772714006
2300101,2815,122.23096220738637
2300101,2828,4184.401479088858
2300101,2901,349.1045460745839
2300101,3002,5339.249887421003
2300101,3003,3377.586669111022
2300101,3004,5885.863789761604
2300101,3005,2227.1827014573073
2300101,3006,155.5536305817239
2300101,3102,2116.3638846662952
2300101,3105,2240.5768063101445
2300101,3204,133.07914896448196
2300101,3208,7813.013519316556
2300101,3209,12690.095070650663
2300101,3214,12082.29451467867
2300101,3303,114.0017968260386
2300101,3305,4745.742199924318
2300101,3306,93.83863115473454
2300101,3307,4634.804226745363
2300101,3401,3008.6398150881714
2300101,3402,12495.432310714074
2300101,3405,1385.3367853791024
2300101,3604,92.88193327192926
2300101,3605,265.95653576139733
2300101,3808,9600.258687383834
2300101,3809,83.07734034165571
2300101,3814,1696.901105872234
2300101,3820,201.5070063223278
2300101,3824,204.27226316982242
2300101,3903,253.28551921441593
2300101,3916,5274.120055859261
2300101,3917,31356.040299936503
2300101,3922,1620.7609789608723
2300101,3923,4851.160382323155
2300101,3924,1590.430775336991
2300101,3925,13794.81441469119
2300101,3926,439.78020327188733
2300101,4002,177.52951865720516
2300101,4006,644.822420231449
2300101,4011,426248.97765306046
2300101,4012,2423.1216491012055
2300101,4013,12764.897349246834
2300101,4014,136.19158137668487
2300101,4015,388.1378462831757
2300101,4016,355.2492847872233
2300101,4203,361.48031777647947
2300101,4407,5564.997723637248
2300101,4412,4141.145740455698
2300101,4418,2202.0120017202025
2300101,4802,1851.213545518056
2300101,4818,6199.050252868092
2300101,4823,1689.8306845977665
2300101,5607,355.16617008730134
2300101,5608,654.0139678882568
2300101,5906,77.12750429596684
2300101,5909,92.5530051551602
2300101,6001,338.43925258905495
2300101,6105,424.2252764680585
2300101,6111,169.21962629452747
2300101,6206,7682.522377146648
2300101,6207,76.99688767895263
2300101,6208,552.4473662805292
2300101,6209,285.25594146791775
2300101,6212,82.65322469852674
2300101,6307,2242.5793065299063
2300101,6402,758.8674169480726
2300101,6403,288.2021760328671
2300101,6805,1390.3132810307616
2300101,6811,553.7553942163057
